Sample in Buffer,Sample in Window,TRIGGER,M_ADC_DATA[11:0]
1086,1086,0,1747
1087,1087,0,1926
1088,1088,0,2465
1089,1089,0,1685
1090,1090,0,1998
1091,1091,0,2456
1092,1092,0,1679
1093,1093,0,2044
1094,1094,0,2438
1095,1095,0,1651
1096,1096,0,2082
1097,1097,0,2387
1098,1098,0,1627
1099,1099,0,2106
1100,1100,0,2407
1101,1101,0,1615
1102,1102,0,2147
1103,1103,0,2379
1104,1104,0,1597
1105,1105,0,2235
1106,1106,0,2333
1107,1107,0,1592
1108,1108,0,2226
1109,1109,0,2318
1110,1110,0,1582
1111,1111,0,2239
1112,1112,0,2314
1113,1113,0,1582
1114,1114,0,2322
1115,1115,0,2237
1116,1116,0,1580
1117,1117,0,2366
1118,1118,0,2214
1119,1119,0,1581
1120,1120,0,2382
1121,1121,0,2143
1122,1122,0,1594
1123,1123,0,2395
1124,1124,0,2143
1125,1125,0,1603
1126,1126,0,2426
1127,1127,0,2108
1128,1128,0,1622
1129,1129,0,2486
1130,1130,0,2038
1131,1131,0,1639
1132,1132,0,2487
1133,1133,0,1998
1134,1134,0,1648
1135,1135,0,2492
1136,1136,0,1944
1137,1137,0,1726
1138,1138,0,2530
1139,1139,0,1920
1140,1140,0,1719
1141,1141,0,2542
1142,1142,0,1879
1143,1143,0,1742
1144,1144,0,2546
1145,1145,0,1783
1146,1146,0,1790
1147,1147,0,2544
1148,1148,0,1795
1149,1149,0,1806
1150,1150,0,2550
1151,1151,0,1783
1152,1152,0,1860
1153,1153,0,2537
1154,1154,0,1703
1155,1155,0,1862
1156,1156,0,2541
1157,1157,0,1703
1158,1158,0,1895
1159,1159,0,2542
1160,1160,0,1663
1161,1161,0,2009
1162,1162,0,2502
1163,1163,0,1635
1164,1164,0,2009
1165,1165,0,2494
1166,1166,0,1615
1167,1167,0,2054
1168,1168,0,2463
1169,1169,0,1558
1170,1170,0,2152
1171,1171,0,2448
1172,1172,0,1562
1173,1173,0,2167
1174,1174,0,2439
1175,1175,0,1566
1176,1176,0,2183
1177,1177,0,2375
1178,1178,0,1542
1179,1179,0,2238
1180,1180,0,2352
1181,1181,0,1538
1182,1182,0,2302
1183,1183,0,2304
1184,1184,0,1538
1185,1185,0,2367
1186,1186,0,2254
1187,1187,0,1540
1188,1188,0,2360
1189,1189,0,2215
1190,1190,0,1549
1191,1191,0,2390
1192,1192,0,2166
1193,1193,0,1586
1194,1194,0,2427
1195,1195,0,2143
1196,1196,0,1570
1197,1197,0,2439
1198,1198,0,2159
1199,1199,0,1566
1200,1200,0,2446
1201,1201,0,2048
1202,1202,0,1599
1203,1203,0,2454
1204,1204,0,2062
1205,1205,0,1615
1206,1206,0,2476
1207,1207,0,2046
1208,1208,0,1639
1209,1209,0,2522
1210,1210,0,1990
1211,1211,0,1659
1212,1212,0,2501
1213,1213,0,1950
1214,1214,0,1671
1215,1215,0,2514
1216,1216,0,1912
1217,1217,0,1767
1218,1218,0,2526
1219,1219,0,1879
1220,1220,0,1750
1221,1221,0,2526
1222,1222,0,1847
1223,1223,0,1776
1224,1224,0,2526
1225,1225,0,1755
1226,1226,0,1879
1227,1227,0,2518
1228,1228,0,1743
1229,1229,0,1904
1230,1230,0,2512
1231,1231,0,1727
1232,1232,0,1950
1233,1233,0,2478
1234,1234,0,1659
1235,1235,0,1997
1236,1236,0,2463
1237,1237,0,1655
1238,1238,0,2022
1239,1239,0,2455
1240,1240,0,1655
1241,1241,0,2078
1242,1242,0,2433
1243,1243,0,1651
1244,1244,0,2089
1245,1245,0,2398
1246,1246,0,1636
1247,1247,0,2094
1248,1248,0,2371
1249,1249,0,1619
1250,1250,0,2167
1251,1251,0,2367
1252,1252,0,1627
1253,1253,0,2182
1254,1254,0,2348
1255,1255,0,1628
1256,1256,0,2231
1257,1257,0,2259
1258,1258,0,1627
1259,1259,0,2250
1260,1260,0,2259
1261,1261,0,1635
1262,1262,0,2238
1263,1263,0,2267
1264,1264,0,1641
1265,1265,0,2293
1266,1266,0,2218
1267,1267,0,1653
1268,1268,0,2278
1269,1269,0,2185
1270,1270,0,1659
1271,1271,0,2285
1272,1272,0,2184
1273,1273,0,1674
1274,1274,0,2294
1275,1275,0,2183
1276,1276,0,1678
1277,1277,0,2298
1278,1278,0,2167
1279,1279,0,1689
1280,1280,0,2306
1281,1281,0,2096
1282,1282,0,1707
1283,1283,0,2303
1284,1284,0,2127
1285,1285,0,1714
1286,1286,0,2301
1287,1287,0,2118
1288,1288,0,1735
1289,1289,0,2335
